time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-06-04T17:38:39.000Z,44.79,-110.7618,2.2,1,Md,,234,0.06288207,0.13,uu,uu60071972,2014-06-05T20:26:35.314Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.9,31.6,0.3,4,reviewed,uu,uu
2014-06-04T16:01:34.300Z,44.7887,-110.7692,4.8,1,Ml,,230.4,0.05389892,0.16,uu,uu60071952,2014-06-05T19:46:29.989Z,"21 km SSW of Mammoth, Wyoming",earthquake,2,1.2,0.4,2,reviewed,uu,uu
2014-06-04T15:55:57.900Z,44.7917,-110.769,4.8,1.3,Md,,234,0.05389892,0.05,uu,uu60005215,2014-06-05T15:06:21.424Z,"21 km SSW of Mammoth, Wyoming",earthquake,3.4,2.1,0.3,3,reviewed,uu,uu
2014-06-04T15:55:48.400Z,44.815,-110.7468,7.5,1.1,Ml,,255.6,0.08084838,0.07,uu,uu60071947,2014-06-05T15:02:46.388Z,"18 km S of Mammoth, Wyoming",earthquake,1.6,0.7,0.3,2,reviewed,uu,uu
2014-06-04T15:50:54.600Z,44.787,-110.7615,2,1.1,Ml,,230.4,0.06288207,0.12,uu,uu60071942,2014-06-05T20:31:45.370Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.8,31.6,0.4,2,reviewed,uu,uu
2014-06-04T15:49:59.200Z,44.7988,-110.7632,6.5,1.1,Ml,,241.2,0.06288207,0.16,uu,uu60071932,2014-06-05T14:55:31.324Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.3,1.4,0.3,2,reviewed,uu,uu
2014-06-04T15:38:30.400Z,44.8207,-110.7547,8.1,0.2,Md,,255.6,0.07186522,0.07,uu,uu60071922,2014-06-05T22:21:06.183Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.8,1.2,0.1,2,reviewed,uu,uu
2014-06-04T15:31:03.700Z,44.7828,-110.769,2.2,0.8,Md,,219.6,0.05389892,0.11,uu,uu60005220,2014-06-06T14:36:27.887Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.9,31.6,0.1,4,reviewed,uu,uu
2014-06-04T15:30:20.000Z,44.7795,-110.769,2.3,0.6,Md,,216,0.06288207,0.09,uu,uu60071917,2014-06-06T14:33:52.857Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.7,7.7,0.2,4,reviewed,uu,uu
2014-06-04T15:25:44.000Z,44.8045,-110.7623,6.6,1.7,Ml,,244.8,0.06288207,0.14,uu,uu60071912,2014-06-05T14:48:46.261Z,"19 km SSW of Mammoth, Wyoming",earthquake,1.1,1.2,0.2,4,reviewed,uu,uu
2014-06-04T15:20:57.000Z,44.7998,-110.772,6.2,2.5,Ml,,212.4,0.05389892,0.13,uu,uu60071907,2014-08-30T17:03:01.000Z,"20 km SSW of Mammoth, Wyoming",earthquake,0.7,1.3,0.3,4,reviewed,uu,uu
2014-06-04T15:03:45.700Z,44.8118,-110.7573,6,1.4,Ml,,248.4,0.07186522,0.11,uu,uu60005225,2014-06-06T14:51:24.022Z,"18 km SSW of Mammoth, Wyoming",earthquake,1.8,2.1,0.3,2,reviewed,uu,uu
2014-06-04T15:03:32.100Z,44.8132,-110.7557,6.4,0.5,Md,,252,0.07186522,0.07,uu,uu60071892,2014-06-06T14:45:13.961Z,"18 km SSW of Mammoth, Wyoming",earthquake,1.4,1.5,0.3,4,reviewed,uu,uu
2014-06-04T14:57:50.600Z,44.7912,-110.7753,6.3,1.3,Ml,,230.4,0.05389892,0.14,uu,uu60071887,2014-06-04T22:16:44.390Z,"21 km SSW of Mammoth, Wyoming",earthquake,1.2,1.5,0.3,2,reviewed,uu,uu
2014-06-04T14:47:13.200Z,44.7958,-110.765,4.9,0.9,Md,,244.8,0.06288207,0.05,uu,uu60071882,2014-06-06T17:09:26.251Z,"20 km SSW of Mammoth, Wyoming",earthquake,2.2,0.9,0.4,3,reviewed,uu,uu
2014-06-04T13:50:57.600Z,44.8037,-110.7547,4.2,1.2,Md,,248.4,0.07186522,0.02,uu,uu60071877,2014-06-06T17:06:51.220Z,"19 km SSW of Mammoth, Wyoming",earthquake,1.4,31.6,0.5,6,reviewed,uu,uu
2014-06-04T13:16:25.000Z,44.7865,-110.774,4.1,0.9,Md,,226.8,0.05389892,0.08,uu,uu60071867,2014-06-06T18:20:26.825Z,"21 km SSW of Mammoth, Wyoming",earthquake,1.3,2.2,0.2,4,reviewed,uu,uu
2014-06-04T13:11:38.200Z,44.8227,-110.7517,7.7,1.1,Ml,,255.6,0.08084838,0.07,uu,uu60071862,2014-06-06T18:15:41.762Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.3,0.9,0.2,2,reviewed,uu,uu
2014-06-04T12:39:43.200Z,44.8197,-110.756,7.2,1.4,Md,,255.6,0.07186522,0.06,uu,uu60071857,2014-06-06T17:15:41.311Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.2,1,0.3,4,reviewed,uu,uu
2014-06-04T12:34:10.900Z,44.8022,-110.7728,4.6,1.6,Md,,212.4,0.05389892,0.17,uu,uu60071852,2014-06-04T14:41:18.297Z,"20 km SSW of Mammoth, Wyoming",earthquake,0.9,0.6,0.3,6,reviewed,uu,uu
2014-06-04T12:16:03.000Z,44.7875,-110.7657,7.7,3.5,Ml,,104.4,0.06288207,0.18,uu,uu60071847,2014-08-30T17:03:01.000Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.4,0.6,0.3,5,reviewed,uu,uu
2014-06-04T12:12:47.400Z,44.7845,-110.7598,4.5,1.7,Md,,194.4,0.06288207,0.11,uu,uu60071837,2014-06-04T14:43:53.327Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.7,0.4,0.3,3,reviewed,uu,uu
2014-06-04T11:59:32.100Z,44.7865,-110.7753,3.5,0.9,Ml,,223.2,0.05389892,0.22,uu,uu60071827,2014-06-04T15:02:58.483Z,"21 km SSW of Mammoth, Wyoming",earthquake,1.1,1.3,0.4,2,reviewed,uu,uu
2014-06-04T11:51:12.400Z,44.7985,-110.7657,4,0.8,Ml,,241.2,0.06288207,0.17,uu,uu60071822,2014-06-04T15:06:08.534Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.4,1.5,0.6,2,reviewed,uu,uu
2014-06-04T11:01:02.100Z,44.8153,-110.7422,7.8,0.9,Ml,,255.6,0.08084838,0.05,uu,uu60071812,2014-06-06T18:29:46.911Z,"18 km S of Mammoth, Wyoming",earthquake,1.1,0.8,0.4,2,reviewed,uu,uu
2014-06-04T09:33:53.800Z,44.8052,-110.7473,8.9,1.2,Md,,259.2,0.07186522,0.08,uu,uu60071792,2014-06-06T18:31:51.946Z,"Wyoming",earthquake,3,2.6,0.5,4,reviewed,uu,uu
2014-06-04T09:31:04.100Z,44.785,-110.7678,4.8,1.9,Ml,,100.8,0.06288207,0.16,uu,uu60071787,2014-06-04T15:46:58.932Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.4,0.4,0.3,4,reviewed,uu,uu
2014-06-04T09:30:51.100Z,44.8052,-110.7657,4.8,1.3,Ml,,244.8,0.06288207,0.13,uu,uu60071782,2014-06-04T15:12:53.611Z,"19 km SSW of Mammoth, Wyoming",earthquake,1.5,0.7,0.5,2,reviewed,uu,uu
2014-06-04T08:52:10.900Z,44.8188,-110.7458,8.4,0.3,Md,,255.6,0.08084838,0.03,uu,uu60071767,2014-06-04T17:34:30.959Z,"17 km S of Mammoth, Wyoming",earthquake,1.5,1.4,0.1,2,reviewed,uu,uu
2014-06-04T03:20:46.100Z,44.791,-110.769,4.8,1.2,Ml,,205.2,0.05389892,0.21,uu,uu60071752,2014-06-04T16:34:35.408Z,"Wyoming",earthquake,1.4,0.8,0.4,2,reviewed,uu,uu
2014-06-04T03:20:25.000Z,44.784,-110.7717,2.4,1.1,Md,,223.2,0.05389892,0.11,uu,uu60071757,2014-06-04T16:31:55.361Z,"22 km SSW of Mammoth, Wyoming",earthquake,1,31.6,0.5,5,reviewed,uu,uu
2014-06-04T02:46:30.900Z,44.7802,-110.7668,3.9,0.4,Md,,190.8,0.06288207,0.23,uu,uu60071747,2014-06-04T17:57:46.182Z,"22 km SSW of Mammoth, Wyoming",earthquake,1.1,1.3,0.1,2,reviewed,uu,uu
2014-06-04T02:42:30.500Z,44.7848,-110.7725,2.5,0.9,Md,,226.8,0.05389892,0.04,uu,uu60071742,2014-06-06T18:50:17.090Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.6,31.6,0.2,4,reviewed,uu,uu
2014-06-04T02:35:36.600Z,44.7847,-110.7738,3.9,2,Ml,,104.4,0.05389892,0.14,uu,uu60071737,2014-06-04T20:52:57.538Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.4,0.7,0.4,4,reviewed,uu,uu
2014-06-04T02:23:57.400Z,44.8037,-110.7652,5.1,1.5,Ml,,216,0.06288207,0.15,uu,uu60071732,2014-06-04T21:19:47.762Z,"19 km SSW of Mammoth, Wyoming",earthquake,0.9,1.4,0.3,2,reviewed,uu,uu
2014-06-04T02:21:16.400Z,44.8345,-110.7447,6.6,1.2,Ml,,158.4,0.06288207,0.12,uu,uu60071727,2014-06-04T18:01:31.241Z,"16 km SSW of Mammoth, Wyoming",earthquake,0.7,1.9,0.4,2,reviewed,uu,uu
2014-06-04T02:14:56.600Z,44.7953,-110.7617,5.3,1,Ml,,241.2,0.06288207,0.16,uu,uu60071722,2014-06-06T19:09:52.251Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.3,1.6,0.4,2,reviewed,uu,uu
2014-06-04T01:57:45.900Z,44.8233,-110.7475,7.8,1.5,Ml,,255.6,0.08084838,0.05,uu,uu60071717,2014-06-06T19:00:07.175Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.1,0.6,0.4,2,reviewed,uu,uu
2014-06-04T01:56:57.100Z,44.7825,-110.772,4.4,0.4,Md,,219.6,0.05389892,0.16,uu,uu60005205,2014-06-04T22:11:04.341Z,"22 km SSW of Mammoth, Wyoming",earthquake,1.4,1.1,0.3,4,reviewed,uu,uu
2014-06-04T01:56:42.800Z,44.811,-110.7565,7,1.3,Ml,,248.4,0.07186522,0.08,uu,uu60071712,2014-06-04T22:07:54.285Z,"18 km SSW of Mammoth, Wyoming",earthquake,1,2,0.4,2,reviewed,uu,uu
2014-06-04T01:53:18.900Z,44.7863,-110.7687,4.4,1.9,Ml,,104.4,0.05389892,0.13,uu,uu60071707,2014-06-04T22:03:43.226Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.5,0.5,0.3,4,reviewed,uu,uu
2014-06-04T01:50:15.300Z,44.7928,-110.766,4.3,1.4,Ml,,208.8,0.06288207,0.15,uu,uu60071702,2014-06-04T21:58:28.154Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.9,0.7,0.3,3,reviewed,uu,uu
2014-06-04T01:45:32.600Z,44.8303,-110.7495,7.4,0.7,Md,,259.2,0.08084838,0.06,uu,uu60071697,2014-06-06T19:14:32.301Z,"16 km SSW of Mammoth, Wyoming",earthquake,1.6,1,0.3,4,reviewed,uu,uu
2014-06-04T01:32:26.500Z,44.8158,-110.7557,7.2,1.5,Ml,,252,0.07186522,0.09,uu,uu60071687,2014-06-04T21:54:53.117Z,"Wyoming",earthquake,1.1,0.7,0.3,2,reviewed,uu,uu
2014-06-04T01:31:08.100Z,44.7998,-110.7688,5,2,Ml,,212.4,0.06288207,0.16,uu,uu60071682,2014-06-04T21:44:33.009Z,"20 km SSW of Mammoth, Wyoming",earthquake,1,0.5,0.4,5,reviewed,uu,uu
