evid,event_lat,event_lon,event_depth,magnitude,magnitude_type,origin_time
60055012,44.7676667,-110.69666670000001,3.53,1.95,l,1392013377.75
60055022,44.7501667,-110.78933329999998,8.07,1.44,l,1392015239.94
60055027,44.7451667,-110.79266670000001,9.09,2.37,l,1392022533.77
60055042,44.7471667,-110.79916670000001,4.9,1.31,l,1392032426.86
60055052,44.761,-110.777,10.51,1.27,l,1392037784.76
60055072,44.7465,-110.78666670000001,6.32,1.03,l,1392063766.5
60055082,44.7385,-110.79816670000001,8.35,2.25,l,1392072263.34
60055092,44.7496667,-110.79233329999998,8.95,0.78,l,1392072408.41
60055097,44.7515,-110.78633329999998,10.42,1.79,l,1392072554.03
60055102,44.7475,-110.8055,8.73,1.56,l,1392072746.2
60055147,44.7556667,-110.79033329999999,9.2,0.53,l,1392096474.9
60055177,44.7508333,-110.791,10.71,2.3,l,1392123877.37
60055192,44.7466667,-110.79316670000001,9.61,1.65,l,1392125494.7
60055257,44.746333299999996,-110.795,10.77,3.47,l,1392159796.77
60055262,44.7556667,-110.7828333,8.55,1.75,l,1392159947.95
60055282,44.7591667,-110.77633329999999,10.19,1.38,l,1392160308.85
60055292,44.743333299999996,-110.79266670000001,8.74,1.6,l,1392161690.79
60055297,44.755166700000004,-110.80133329999998,10.14,0.59,l,1392162088.15
60055307,44.7548333,-110.77833329999999,13.58,0.96,l,1392162344.85
60055312,44.735833299999996,-110.79700000000001,7.17,1.77,l,1392162719.64
60055317,44.7393333,-110.78533329999999,8.6,1.2,l,1392162813.61
60055322,44.7356667,-110.79283329999998,7.32,1.54,l,1392163044.72
60055327,44.7516667,-110.77866670000002,10.59,1.27,l,1392163143.77
60055337,44.7356667,-110.79666670000002,2.08,-9.99,h,1392163113.86
60055342,44.740333299999996,-110.79416670000002,6.98,0.64,l,1392163715.18
60055347,44.7528333,-110.78299999999999,9.29,0.92,l,1392163980.44
60055352,44.7511667,-110.79766670000001,7.32,1.31,l,1392164545.24
60055357,44.745,-110.7905,8.06,0.8,l,1392164644.53
60055362,44.7351667,-110.81066670000001,4.87,1.47,l,1392165666.21
60055372,44.7425,-110.7945,5.14,1.11,l,1392172726.61
60055382,44.7466667,-110.802,7.8,2.38,l,1392172813.83
60055387,44.7411667,-110.7965,4.48,1.44,l,1392176352.57
60055397,44.7488333,-110.79233329999998,9.48,1.63,l,1392177742.41
60055402,44.7615,-110.77933329999999,8.85,1.12,l,1392186613.21
60055432,44.758166700000004,-110.78233329999999,8.94,0.64,d,1392190393.09
60055437,44.748999999999995,-110.78983329999998,9.01,2.0,l,1392190681.89
60055442,44.755,-110.78416670000001,8.16,1.29,l,1392196308.26
60055462,44.7473333,-110.8,5.71,0.75,l,1392203143.47
60055472,44.7411667,-110.79366670000002,6.99,1.6,l,1392208667.15
60055497,44.7533333,-110.79466670000001,7.16,1.52,l,1392224150.19
60055572,44.753,-110.7885,10.21,0.68,l,1392257956.17
60055587,44.7571667,-110.7815,10.18,0.85,l,1392270915.65
60055592,44.7583333,-110.796,7.99,1.41,l,1392274256.64
60055617,44.7395,-110.79416670000002,2.55,0.9,l,1392288589.0
60055647,44.7395,-110.79716670000002,2.83,0.28,d,1392317738.2
60055677,44.72,-110.64416670000001,6.07,2.74,l,1392334661.2
60055692,44.728333299999996,-110.65,5.44,1.51,l,1392335443.94
60055827,44.7381667,-110.807,4.84,0.45,d,1392404206.54
60055832,44.746,-110.80766670000001,6.37,0.91,l,1392405717.97
60055932,44.7365,-110.785,3.19,1.23,l,1392479479.81
60055987,44.7535,-110.8165,8.56,1.16,l,1392521222.92
60055997,44.737333299999996,-110.78183329999999,5.05,0.46,d,1392528607.62
60056142,44.7456667,-110.79466670000001,8.07,1.48,l,1392584831.39
60056152,44.74100000000001,-110.79733329999999,6.91,1.12,l,1392585184.23
60056182,44.7491667,-110.78983329999998,8.0,1.07,l,1392591897.95
60056197,44.7456667,-110.79966670000002,7.72,1.3,l,1392595174.3
60056217,44.758,-110.79933329999999,10.31,1.07,l,1392599573.6
60056237,44.751000000000005,-110.80116670000001,8.15,1.09,l,1392608022.17
60056247,44.748999999999995,-110.81116670000002,7.42,1.53,l,1392611914.15
60056252,44.7363333,-110.807,2.48,-0.08,d,1392611891.17
60056257,44.7428333,-110.81066670000001,5.74,1.82,l,1392612089.54
60056262,44.7428333,-110.81016670000001,7.92,1.97,l,1392612166.57
60056267,44.7386667,-110.80733329999998,3.57,-0.27,d,1392612149.55
60056272,44.7505,-110.80583329999999,9.04,1.8,l,1392612546.62
60056287,44.743,-110.8125,6.32,1.61,l,1392613668.3
60056292,44.7428333,-110.81416670000002,5.96,1.49,l,1392613902.08
60056297,44.7491667,-110.80816670000002,7.97,1.14,l,1392615169.26
60056307,44.7481667,-110.8115,7.5,1.3,l,1392618187.08
60056312,44.7421667,-110.81083329999998,2.99,-9.99,h,1392618171.28
60056317,44.745,-110.80716670000001,6.73,1.19,l,1392619866.47
60056327,44.7416667,-110.816,6.65,1.57,l,1392629820.59
60056332,44.739,-110.816,6.87,1.52,l,1392630416.45
60056492,44.7475,-110.809,8.02,2.06,l,1392680245.43
60056497,44.7453333,-110.80433329999998,7.8,2.37,l,1392680290.22
60056502,44.7495,-110.81183329999999,8.04,1.23,l,1392682428.56
60056612,44.7516667,-110.795,10.15,2.15,l,1392697673.9
60056722,44.748999999999995,-110.79883329999998,8.06,0.55,d,1392731744.63
60056737,44.743,-110.79333329999999,6.44,1.08,l,1392742302.98
60056742,44.7371667,-110.79033329999999,5.4,1.45,l,1392742397.22
60056752,44.7441667,-110.78683329999998,8.04,1.65,l,1392742667.73
60056757,44.737333299999996,-110.77866670000002,7.8,1.66,l,1392743450.97
60056777,44.74100000000001,-110.779,8.12,1.4,l,1392745331.12
60056797,44.7416667,-110.78466670000002,6.73,1.61,l,1392748555.1
60056917,44.7348333,-110.64333329999998,5.27,1.48,l,1392821366.56
60057037,44.7495,-110.80016670000002,7.94,1.32,l,1392872527.09
60057087,44.7691667,-110.80166670000001,13.4,1.24,l,1392922837.66
60057252,44.7466667,-110.77866670000002,8.28,1.09,l,1393161766.54
60057257,44.744833299999996,-110.7805,7.93,1.76,l,1393163749.61
60057272,44.7533333,-110.80216670000001,8.51,1.44,l,1393190424.29
60057337,44.746,-110.77799999999999,5.33,1.23,l,1393287741.14
60057362,44.7461667,-110.79733329999999,7.13,1.8,l,1393324603.33
60057422,44.8035,-110.8115,4.69,0.98,l,1393377684.5
60057427,44.805833299999996,-110.81183329999999,6.48,0.69,l,1393379339.19
60057527,44.7443333,-110.77866670000002,5.75,1.75,l,1393495973.94
60057882,44.7401667,-110.7766667,6.79,1.77,l,1393699463.16
60057887,44.7363333,-110.777,10.24,2.88,l,1393699480.47
60057892,44.7466667,-110.78133329999999,6.15,1.56,l,1393699566.58
60057902,44.746,-110.78216670000002,6.65,1.41,l,1393699838.15
60057907,44.7425,-110.78833329999999,7.77,1.06,l,1393699807.4
60057912,44.742,-110.77816670000001,5.74,1.62,l,1393700270.24
60057917,44.7438333,-110.77833329999999,6.99,2.01,l,1393700408.37
60057922,44.7468333,-110.7755,7.87,1.27,l,1393700942.15
60057947,44.7345,-110.77266670000002,7.99,1.72,l,1393713025.93
60057957,44.7421667,-110.777,8.18,1.98,l,1393739723.22
60057962,44.7543333,-110.73966670000001,14.09,0.31,d,1393739794.17
60057967,44.7481667,-110.7828333,7.31,1.66,l,1393741797.83
60057977,44.7376667,-110.78200000000001,7.89,1.99,l,1393746349.45
60058067,44.8106667,-110.64066670000001,2.4,1.66,l,1393808466.18
60058107,44.7425,-110.77716670000001,4.87,1.36,l,1393881606.03
60058152,44.7416667,-110.78033329999998,4.92,1.52,l,1393907510.99
60058172,44.7393333,-110.77766670000001,5.01,1.5,l,1393922057.54
60058192,44.7348333,-110.7705,6.15,1.11,l,1393951130.81
60058262,44.7443333,-110.77600000000001,7.19,1.5,l,1393982607.61
60058272,44.7465,-110.7735,6.13,1.67,l,1393984369.48
60058317,44.746,-110.77683329999999,6.77,1.31,l,1394019463.95
60058347,44.7458333,-110.78200000000001,7.92,1.69,l,1394037200.2
60058357,44.7661667,-110.72116670000001,12.87,-0.35,d,1394040580.43
60058432,44.7423333,-110.77766670000001,6.06,1.33,l,1394086607.63
60058462,44.7435,-110.7765,6.2,1.5,l,1394134560.23
60058532,44.7491667,-110.80616670000002,8.75,1.05,l,1394184720.0
60058542,44.7446667,-110.81166670000002,5.02,0.93,l,1394186261.62
60058737,44.7323333,-110.78333329999998,2.23,0.82,l,1394315248.02
60058747,44.738833299999996,-110.78233329999999,7.96,0.75,l,1394336685.28
60058767,44.838333299999995,-110.65833329999998,11.45,1.32,l,1394343882.28
60058832,44.7891667,-110.76083329999999,2.9,1.65,l,1394412778.49
60058837,44.8025,-110.76233329999998,2.42,1.06,d,1394412778.3
60058852,44.7555,-110.79266670000001,9.91,0.57,d,1394433373.91
60058857,44.7431667,-110.79799999999999,7.52,0.86,d,1394434435.43
60058962,44.7548333,-110.779,7.94,1.16,l,1394535451.66
60058967,44.745,-110.7885,6.04,2.06,l,1394535550.55
60058977,44.753666700000004,-110.7825,6.44,1.6,l,1394535822.73
60058982,44.7475,-110.78299999999999,6.98,1.42,l,1394535911.99
60058987,44.7481667,-110.78816670000002,6.35,1.77,l,1394535874.79
60058992,44.7468333,-110.78,6.55,1.64,l,1394536587.03
60059237,44.8031667,-110.81066670000001,5.46,0.19,d,1394722594.32
60059242,44.7406667,-110.77233329999999,8.33,0.9,l,1394729519.88
60059327,44.751000000000005,-110.7858333,7.25,0.96,l,1394783802.88
60059627,44.7503333,-110.76933329999999,9.02,2.09,l,1394929400.85
60059707,44.7423333,-110.78566670000001,6.72,0.93,d,1394987014.41
60059722,44.762666700000004,-110.77633329999999,5.29,0.98,d,1394993662.43
60059732,44.7355,-110.78916670000001,6.52,1.21,l,1394996367.61
60059787,44.7805,-110.78266670000001,5.68,0.6,d,1395039757.65
60060062,44.735,-110.78016670000001,4.5,0.86,d,1395112404.56
60060272,44.754,-110.78416670000001,2.16,-0.45,d,1395258429.95
60060277,44.7591667,-110.78116670000001,7.82,1.94,l,1395259408.51
60060312,44.7841667,-110.7765,8.93,0.81,l,1395295937.58
