Evid,EqLat,EqLon,EqDepSL,EqOt,CatMag,CatMagType,Date,Event-Mean-YPML,Event-Median-YPML,Event-Mean-YPML-S,Event-Median-YPML-S
60002025.0,44.55,-110.821,8.07,1379261191.6599998,1.73,l,2013-09-15 16:06:31.660000+00:00,1.503064701774375,1.4931232036659257,1.526859019124375,1.5135797518159255
60002035.0,44.5493333,-110.827,7.27,1379246971.2600002,0.95,l,2013-09-15 12:09:31.260000+00:00,1.005578315546442,1.0453017302298964,0.9852448757131084,0.9433883144298963
60002060.0,44.74,-110.7853333,4.18,1380227646.2199998,1.48,l,2013-09-26 20:34:06.220000+00:00,1.2393173876750914,1.193247920240684,1.2786360045550913,1.253088259640684
60002090.0,44.5678333,-110.8348333,2.1,1380980068.2999992,1.06,l,2013-10-05 13:34:28.299999+00:00,0.7743685274950852,0.6857584616614103,0.8731972984950852,0.7305659457684185
60002140.0,44.5576667,-110.8431667,5.14,1380993411.7599983,1.9,l,2013-10-05 17:16:51.759998+00:00,1.6078947678410098,1.6655301671248826,1.6638106192610098,1.6636204733248825
60002142.0,44.3708333,-110.6273333,4.7,1350773895.5,2.5,l,2012-10-20 22:58:15.500000+00:00,2.393604062769908,2.502637933614147,2.3526872785365747,2.425487148352606
60002170.0,44.5,-111.1331667,15.58,1382297305.289999,2.06,l,2013-10-20 19:28:25.289999+00:00,1.8068048732163835,1.8093734098582737,1.8448397107163832,1.8692137492582737
60002195.0,44.5198333,-111.0478333,14.77,1383102232.1699982,0.36,l,2013-10-30 03:03:52.169998+00:00,0.6129310896953042,0.6129310896953042,0.5900613152453043,0.5900613152453043
60002215.0,44.5446667,-111.02,4.91,1383881398.6499977,1.37,l,2013-11-08 03:29:58.649998+00:00,1.243214816482871,1.243214816482871,1.2221782782828703,1.2221782782828703
60002240.0,44.8266667,-110.6981667,4.8,1384907278.2700005,2.24,l,2013-11-20 00:27:58.270000+00:00,1.6602984585657168,1.6602984585657168,1.6892637813657168,1.6892637813657168
60002255.0,44.8166667,-111.0153333,9.1,1385240563.8799973,1.28,l,2013-11-23 21:02:43.879997+00:00,1.2988771909664694,1.2711155668360063,1.3035774544664696,1.3272894337360064
60002270.0,44.8161667,-111.0163333,8.93,1385245565.92,1.88,l,2013-11-23 22:26:05.920000+00:00,1.884415755183921,1.878031859659652,1.8891160186839209,1.934205726559652
