event_identifier,arrival_identifier,network,station,channel,location_code,source_latitude,source_longitude,source_receiver_distance_km,source_receiver_back_azimuth,source_depth_km,noise_variance,noise_minimum_value,noise_maximum_value,signal_variance,signal_minimum_value,signal_maximum_value,noise_dominant_frequency,noise_dominant_amplitude,signal_dominant_frequency,signal_dominant_amplitude,magnitude_type,magnitude,avg_noise_1.00,avg_signal_1.00,avg_noise_2.00,avg_signal_2.00,avg_noise_3.00,avg_signal_3.00,avg_noise_4.00,avg_signal_4.00,avg_noise_5.00,avg_signal_5.00,avg_noise_6.00,avg_signal_6.00,avg_noise_7.00,avg_signal_7.00,avg_noise_8.00,avg_signal_8.00,avg_noise_9.00,avg_signal_9.00,avg_noise_10.00,avg_signal_10.00,avg_noise_11.00,avg_signal_11.00,avg_noise_12.00,avg_signal_12.00,avg_noise_13.00,avg_signal_13.00,avg_noise_14.00,avg_signal_14.00,avg_noise_15.00,avg_signal_15.00,avg_noise_16.00,avg_signal_16.00,avg_noise_17.00,avg_signal_17.00,avg_noise_18.00,avg_signal_18.00
60499717,3933214,WY,YWB,EHZ,01,44.8083333,-111.0161667,23.482290633746,16.572114380897517,8.4,0.00025718383549219834,-0.04433196910540474,0.04737835661699821,0.006010237847856945,-0.24886199315716867,0.2982479380882458,2.0,0.0012137047427424298,5.0,0.004577169242726414,l,0.75,0.001087924822220207,0.0028206921401593855,0.0018707667360567937,0.018957761252574597,0.000918064592394468,0.023729979238850292,0.0008356443899395677,0.02507548863158635,0.0010086614985370048,0.028475807329055677,0.001426660312483776,0.026067478247121263,0.0016385184070940829,0.020681910865042313,0.0015281557381549523,0.0161842782969822,0.0014563121004698833,0.014593704499044798,0.0014735852669284025,0.013991747300883496,0.00142744323743701,0.013034365811003888,0.0013240069261405924,0.011663360055912848,0.001171328975951078,0.01011250552771446,0.0010014807235369087,0.008609105054982883,0.0008386206277375467,0.007216401492145419,0.0006958614531911836,0.005982703846519364,0.0005739199597212871,0.004926333301567786,0.0004723326315412282,0.004044747516367431
60499717,3933239,WY,MCID,EHZ,01,44.8083333,-111.0161667,69.93861819945162,10.855230755471553,8.4,0.00011196950964795159,-0.020689859676089422,0.02318271868734129,0.0011330998110366081,-0.06840949768112026,0.11767078535835608,2.0,0.0010915952162792717,8.0,0.0017749123116481298,l,0.75,0.0014731363479606697,0.010019381299590215,0.0030434543571881164,0.016833003878532392,0.0021473453346328043,0.012908338548896166,0.0014705661119845449,0.007654157362398808,0.001020613719154529,0.005897046758329807,0.0009459487042663365,0.007404836464738622,0.0007123650099646133,0.008053656962876743,0.0005182205095749858,0.00782199149563732,0.0004681412038074941,0.0070508639061696915,0.00042957596384171127,0.005927268520803684,0.0003749849938299206,0.0048608507312045265,0.0003148051664826015,0.003984509838443561,0.00025816649204383276,0.0032627518391971384,0.00020948862114747482,0.0026551547793862832,0.00017001999896663694,0.002141940993390833,0.00013859039099624164,0.0017176061895049929,0.00011329097513977772,0.0013742856434178154,9.301585145495376e-05,0.001100865672456308
60499947,3935299,WY,YGC,EHZ,01,44.7971667,-110.9945,8.86271464146626,89.24447491470816,4.53,0.0010555696071267516,-0.06698893282486565,0.10650973523460294,0.20728978505957138,-1.123825517970265,1.7897741240608176,3.0,0.001723542599979915,5.0,0.028802587527578635,l,1.21,0.0021408013430379417,0.029867728583354364,0.0011347275590385631,0.10807961716558938,0.00294638222289882,0.14775953668870853,0.0020305884025479085,0.15085839572025883,0.0025055096072374044,0.15959802074288137,0.0034539372879536143,0.12017326989177346,0.0038140836272479626,0.09246333025824471,0.0034039350125216476,0.09318635432768554,0.0030981436110250355,0.10072343961206132,0.003096511385374385,0.1012238065541509,0.0031027461236562436,0.09212597908528508,0.003111687746148725,0.07850042107129235,0.0029986588949941664,0.06437415278067,0.0027427029676805226,0.05165928267827283,0.002407445876196761,0.040948906347593864,0.002053578059460132,0.03231925559456215,0.001720426300963261,0.02552960301876302,0.0014274710230145142,0.02024252595817781
60499947,3935329,WY,YPM,EHZ,01,44.7971667,-110.9945,18.476927696935167,327.39478707072067,4.53,0.0008402382976295604,-0.058194292559272436,0.06743574528016436,1.3964222537859636,-3.9856346284722326,2.932643010875139,3.0,0.0158282542285793,3.0,0.09773006155814806,l,1.21,0.006733929057688486,0.12707873867076605,0.01391392038068188,0.28604014382849297,0.01651834392834331,0.5718655393424494,0.009637587739275193,0.44031284907236956,0.0062677094753997315,0.3359089136048031,0.004308142390885052,0.2510212448907198,0.0031776212141354644,0.22959571341721408,0.0020639040117445516,0.24125812674709687,0.0013450594967178123,0.2350796278358415,0.0010183304621203357,0.21161815379002372,0.0008449222089356183,0.17868938183154895,0.0006984381631967482,0.1438363332211331,0.0005754341622697345,0.11261053307263381,0.0004775461813002819,0.08692825676177744,0.0003984696769640721,0.0668100830916378,0.0003313368712495345,0.05145142772891066,0.0002737609108531321,0.03986146604189475,0.00022605336955259394,0.031141267252965694
60499947,3935334,WY,YWB,EHZ,01,44.7971667,-110.9945,22.87160105945321,21.583097284813277,4.53,0.0002780415189267472,-0.030361618249433606,0.03429356192111513,0.09962520812054014,-0.859508824101971,0.851638311135156,3.0,0.006792256232903868,3.0,0.017268618155725987,l,1.21,0.0027618749632476553,0.055863264293094184,0.006972524034904049,0.10614888090949781,0.00684061719382947,0.14798520052367004,0.005015135126890783,0.1258402071616467,0.003889852412567137,0.12157283139838568,0.0021448256816687197,0.09209164439463549,0.001280432805361578,0.06477776684665128,0.0011228006470521976,0.05415432729570291,0.0009583354112317036,0.05203867619809657,0.0007911299888200333,0.04750054096138781,0.0006490322671838483,0.04028991260068947,0.0005390133109681733,0.032458814201185966,0.000448368631028247,0.02541860896577581,0.0003709259804967494,0.019651717896310813,0.0003059294946919997,0.015137360724828512,0.00025421242829908687,0.011682547371793812,0.00021519151380855863,0.009068220694472294,0.00018673423620514784,0.007098201048415759
60499947,3935354,WY,MCID,EHZ,01,44.7971667,-110.9945,69.07356244318692,12.44739624016421,4.53,3.281530159418076e-05,-0.009801972127098725,0.016869688943935285,0.016750547064874246,-0.43744976967666765,0.25605134440067956,2.0,0.002416064135525619,3.0,0.006991927269833432,l,1.21,0.0011962183894581742,0.007293933908970152,0.003517894468370473,0.037317392469293324,0.0020389278961687536,0.06036404924398445,0.0017333976713657228,0.04459982203379401,0.0010893661620076144,0.040912242685557626,0.0008841818530141777,0.034310455494875554,0.0008477126004584222,0.031879481766959115,0.0007370922767276152,0.030491224397358845,0.0005710500658581216,0.02745119604957824,0.00042945566925895183,0.02305355655409182,0.0003296548131474333,0.018315300730245048,0.00026487503777973575,0.014100922615784791,0.00021638844198528545,0.010707875505378255,0.00017565742183984104,0.00810515244465055,0.00014174193471938427,0.0061531946835086115,0.00011427942138919498,0.004704762499437039,9.267500593920544e-05,0.003632034398371663,7.575563005579409e-05,0.002834702243641359
60500227,3936749,WY,YPM,EHZ,01,44.7605,-110.9275,12.392965510119046,337.9233974869363,10.02,0.00011902694968995268,-0.021988816976677268,0.019230657027432412,0.07107139816359766,-1.2042190982547987,0.5169255838590354,3.0,0.003106918383821293,3.0,0.02370475393667041,l,0.78,0.0003972656279904278,0.00837776599578268,0.002163309433941435,0.09148733397196816,0.004042430312756403,0.11608368026327476,0.001963240988964125,0.1195735716116419,0.0019266038276904074,0.08502429681015805,0.0013822477389548687,0.06697859891234931,0.000995583461329029,0.05193119676950347,0.0007624251710365402,0.043032791252567176,0.0006259816616647701,0.03984801449787477,0.0005577309379491873,0.03692239294744557,0.0004958639204167719,0.032281596284961994,0.00043368848100274626,0.026762710724602144,0.00037599503099360905,0.02152210501572535,0.0003346350635423207,0.017045029980757898,0.0003131035085810994,0.013410231785238706,0.00030692524547849175,0.010540794346556569,0.00030659657362474413,0.008313507517653095,0.0003002651569480593,0.006599621330184959
60500227,3936769,WY,YWB,EHZ,01,44.7605,-110.9275,22.005730356722502,38.58140143823766,10.02,0.00013441090327373227,-0.031298517783404076,0.026682130615451254,0.026990326928356005,-0.5317310569415732,0.5096649964488862,3.0,0.004289999531939164,4.0,0.012656726454679147,l,0.78,0.0013148810207621222,0.007559436043980237,0.004375514129722866,0.03844407612499616,0.0037190473596713115,0.05234274435581779,0.0018201550141658763,0.07283052308461604,0.0016597369466974726,0.07261572997237559,0.001423132899774853,0.0533026207693072,0.0013939074340090065,0.037232815521294274,0.001503827511380038,0.029505244308665603,0.0014387871475912061,0.023615493310251763,0.0012557735153072612,0.01860199897465635,0.0010629039462075798,0.01454503043087529,0.0008850347351352297,0.01140244859419991,0.0007259118183198187,0.008918262324319463,0.0005967192816840241,0.006946401502335531,0.0004974993230167314,0.00540578530257701,0.00042660110668368275,0.004223008850974317,0.00037217654790095973,0.0033253435274717778,0.00032759068890478326,0.0026465722077278413
60500227,3936779,WY,MCID,EHZ,01,44.7605,-110.9275,66.53108545886982,17.67726237369783,10.02,2.993297975077505e-05,-0.009873464072668203,0.011385548540930476,0.0028340301104281536,-0.16108632489078456,0.146894663256493,3.0,0.0007133105510898839,8.0,0.0033283297304684883,l,0.78,0.000981044826942982,0.003375763359856985,0.0010079595137159256,0.01980722562015991,0.0012110045635339334,0.017630753172920413,0.0005112258900157432,0.014324276356747415,0.0004893828696789253,0.014639794095457091,0.000613733362829972,0.01254783780869004,0.0006000336733577539,0.01261504718381666,0.0005561751131871501,0.014634671879649378,0.0005138827180506366,0.014802313353093276,0.00043836593273346915,0.012930263419177312,0.0003529560892094787,0.010354832037636937,0.0002772300003897953,0.007946922376137484,0.00021549922464692673,0.005990913245738835,0.0001670464156576369,0.004496343592755511,0.00013024526164614645,0.0033871346803222516,0.00010292711566213192,0.00257296645001616,8.293488951387102e-05,0.0019758843835463733,6.847080455495461e-05,0.0015358248374991396
60500282,3937209,WY,YWB,EHZ,01,44.4803333,-111.0603333,14.312089517119878,166.99075510533055,14.44,8.568924384923314e-05,-0.02003459372436652,0.01827021113953319,0.1673911812489638,-1.0156933458509498,1.0401998184613095,3.0,0.005059854372874273,5.0,0.022928960541008615,l,1.07,0.0036175402866554488,0.03058995678880843,0.004217508485815849,0.07510295432910188,0.005012068646289083,0.12292970184494807,0.0024918992730285985,0.17533562208822934,0.0016567290272385242,0.16130181944338182,0.0010490497172667178,0.13483924926482077,0.000677675010937781,0.11006163218996094,0.0004579266385715825,0.09347783818317752,0.0003421164686642177,0.07938225343115797,0.0002963280983535992,0.0665682448214999,0.00028178729618968674,0.05510286331096652,0.00027547140110258415,0.04476999199058598,0.0002592576438274235,0.03578275573075689,0.00023431553270822976,0.028216766513267058,0.00020809784294736948,0.0220909700107387,0.00018461720956912238,0.017272255726260906,0.0001646713988540894,0.013543492234119017,0.00014909183829658727,0.010680518145771182
60500282,3937234,WY,YPM,EHZ,01,44.4803333,-111.0603333,24.858570097934116,217.8351245988874,14.44,0.00030726924871546304,-0.03779623442228546,0.037996988174951125,0.214677509840221,-1.338840904696204,1.3949238591137911,3.0,0.008030710637897984,3.0,0.033066367844047456,l,1.07,0.0029621935405252185,0.032099755767129465,0.007112053018495644,0.10425172423883983,0.00913445309983693,0.26113238021263907,0.004244171099223495,0.2016322580527508,0.003012850684394943,0.13185480117234183,0.0017354534926987651,0.0989591391287399,0.0012158393402240816,0.08711742047437891,0.0011582241363683255,0.08341585270442003,0.001077728447251031,0.07307664083724935,0.0009170935251715592,0.059752716742333796,0.0007506663269714546,0.04729335470843588,0.0006153189741590039,0.0371641272021135,0.000507357642734803,0.029020876811127846,0.00042500269426879285,0.022578556443711165,0.00037037576622071767,0.017584724643761974,0.0003330024161505745,0.013748431432105978,0.00030451616309417625,0.010808416463894167,0.00027815554910727325,0.008553739911786993
60500282,3937254,WY,MCID,EHZ,01,44.4803333,-111.0603333,33.66921663462842,16.80075054788864,14.44,0.0005705913137996968,-0.06741270332060909,0.057300743062009926,0.9285888958158497,-2.8730658289576025,3.2163401352253227,4.0,0.009722025467722556,8.0,0.06688448100684848,l,1.07,0.003284817965238519,0.01683142459466688,0.007598631430708402,0.0696027247763869,0.006839172970922836,0.08178616402967574,0.006744671164771728,0.1608737454494995,0.005668820076897382,0.2601220988951746,0.0038584907204722383,0.2673901598646392,0.0036499551934829743,0.3024537609910969,0.003361947793003235,0.33574120970612575,0.003065857374264511,0.3206336744765717,0.002767179516526148,0.27086774954430526,0.002418437565539697,0.21361039946435037,0.001994250192437921,0.163113171337555,0.0015873117988530637,0.12300314666576018,0.0012416470481680438,0.092516458644231,0.0009651745007780645,0.06988145786333717,0.0007505807679348749,0.053224383743619076,0.0005863272984621131,0.04096642238171893,0.00046120708953271733,0.031899173854033736
60500337,3937884,WY,YPM,EHZ,01,44.7995,-110.9901667,18.51491778537718,328.7212422588858,8.09,0.00015314792583276794,-0.030643149448255427,0.022738763739144654,0.027266086460081156,-0.3981204530976642,0.7448175678107208,5.0,0.0006983361016981274,3.0,0.016545149193511126,l,0.67,0.0013215889762478233,0.012146900080165385,0.0012641063960513238,0.04215793932763589,0.002217622289172563,0.06334057926977744,0.0017530575616055278,0.07468988427305351,0.001977305565408262,0.0509706226710445,0.001371238173616383,0.038262549149453956,0.0009265792576535531,0.031435143805806254,0.0007699709451338163,0.027093587979274327,0.0006573025227130176,0.023493761015601317,0.0005763258084905219,0.02012250982963082,0.0005056078341424312,0.016876183681216426,0.00044087404638995444,0.013850973162455526,0.00038641193806878543,0.011211180655665138,0.0003480282261697064,0.00896959960715093,0.0003224223516227731,0.007131735125049273,0.0003068334192235223,0.00567104760123637,0.0002973790784274557,0.004528889513136664,0.00028662072582208626,0.0036401880070022355
